"id","parent","label"
"1","Têtes d'analyse : Liste générale","activités"
"2","Têtes d'analyse : Liste générale","affiliation"
"3","Têtes d'analyse : Liste générale","aides"
"4","Têtes d'analyse : Liste générale","aides de l'État"
"5","Têtes d'analyse : Liste générale","aides et prêts"
"6","Têtes d'analyse : Liste générale","allocations et ressources"
"7","Têtes d'analyse : Liste générale","application"
"8","Têtes d'analyse : Liste générale","assiette"
"9","Têtes d'analyse : Liste générale","assujettissement"
"10","Têtes d'analyse : Liste générale","bâtiments"
"11","Têtes d'analyse : Liste générale","bénéficiaires"
"12","Têtes d'analyse : Liste générale","bilan"
"13","Têtes d'analyse : Liste générale","bilan et perspectives"
"14","Têtes d'analyse : Liste générale","budget"
"15","Têtes d'analyse : Liste générale","calcul"
"16","Têtes d'analyse : Liste générale","capacités d'accueil"
"17","Têtes d'analyse : Liste générale","carrière"
"18","Têtes d'analyse : Liste générale","commerce"
"19","Têtes d'analyse : Liste générale","compétences"
"20","Têtes d'analyse : Liste générale","comptabilité"
"21","Têtes d'analyse : Liste générale","concurrence"
"22","Têtes d'analyse : Liste générale","conditions d'accès"
"23","Têtes d'analyse : Liste générale","conditions d'attribution"
"24","Têtes d'analyse : Liste générale","conséquences"
"25","Têtes d'analyse : Liste générale","contentieux"
"26","Têtes d'analyse : Liste générale","contrats"
"27","Têtes d'analyse : Liste générale","contrôle"
"28","Têtes d'analyse : Liste générale","contrôle et contentieux"
"29","Têtes d'analyse : Liste générale","coopération"
"30","Têtes d'analyse : Liste générale","cotisations"
"31","Têtes d'analyse : Liste générale","création"
"32","Têtes d'analyse : Liste générale","décentralisation"
"33","Têtes d'analyse : Liste générale","déconcentration"
"34","Têtes d'analyse : Liste générale","défense et usage"
"35","Têtes d'analyse : Liste générale","délais"
"36","Têtes d'analyse : Liste générale","délocalisations"
"37","Têtes d'analyse : Liste générale","développement"
"38","Têtes d'analyse : Liste générale","développement durable"
"39","Têtes d'analyse : Liste générale","domaine privé"
"40","Têtes d'analyse : Liste générale","domaine public"
"41","Têtes d'analyse : Liste générale","durée du travail"
"42","Têtes d'analyse : Liste générale","effectifs de personnel"
"43","Têtes d'analyse : Liste générale","emploi et activité"
"44","Têtes d'analyse : Liste générale","équilibre financier"
"45","Têtes d'analyse : Liste générale","équipements"
"46","Têtes d'analyse : Liste générale","établissements"
"47","Têtes d'analyse : Liste générale","exercice de la profession"
"48","Têtes d'analyse : Liste générale","exonération"
"49","Têtes d'analyse : Liste générale","facturation"
