id,label,obsolete
"1","Pour rédaction","0"
"2","Pour attribution","0"
"3","Pour visa","0"
"4","Pour signature","0"
"5","Pour information","0"
"6","Pour avis","0"
"7","Pour validation Premier ministre","0"
"8","Pour réattribution","0"
"9","Pour réorientation","0"
"10","Pour impression","0"
"11","Pour transmission aux assemblées","0"
"12","Pour arbitrage","0"
"13","Pour rédaction interfacée","0"
"14","Pour actualisation","0"
"15","Pour correction","0"
"16","Pour attente","0"
"17","Pour retour","0"
"18","Pour validation retour Premier ministre","0"
