id,label
1,Collectivités territoriales
2,Agriculture et pêche
3,Société
4,Affaires étrangères et coopération
5,Police et sécurité
6,Environnement
7,Union européenne
8,Pouvoirs publics et Constitution
9,Budget
10,Traités et conventions
11,Culture
12,Famille
13,Justice
14,Recherche sciences et techniques
15,Logement et urbanisme
16,Économie et finances fiscalité
17,Outre-mer
18,Fonction publique
19,Questions sociales et santé
20,Transports
21,Travail
22,Anciens combattants
23,Éducation
24,Sécurité sociale
25,PME commerce et artisanat
26,Défense
27,Aménagement du territoire
28,Sports
29,Énergie
30,Entreprises
