id,label,obsolete
"1","label.reponses.feuilleRoute.etape.pour.redaction","0"
"2","label.reponses.feuilleRoute.etape.pour.attribution","0"
"3","label.reponses.feuilleRoute.etape.pour.visa","0"
"4","label.reponses.feuilleRoute.etape.pour.signature","0"
"5","label.reponses.feuilleRoute.etape.pour.information","0"
"6","label.reponses.feuilleRoute.etape.pour.avis","0"
"7","label.reponses.feuilleRoute.etape.pour.validationPM","0"
"8","label.reponses.feuilleRoute.etape.pour.reattribution","0"
"9","label.reponses.feuilleRoute.etape.pour.reorientation","0"
"10","label.reponses.feuilleRoute.etape.pour.impression","0"
"11","label.reponses.feuilleRoute.etape.pour.transmissionAssemblees","0"
"12","label.reponses.feuilleRoute.etape.pour.arbitrage","0"
"13","label.reponses.feuilleRoute.etape.pour.redactionInterfacee","0"
"14","label.reponses.feuilleRoute.etape.pour.actualisation","0"
"15","label.reponses.feuilleRoute.etape.pour.correction","0"
"16","label.reponses.feuilleRoute.etape.pour.attente","0"
"17","label.reponses.feuilleRoute.etape.pour.retour","0"
"18","label.reponses.feuilleRoute.etape.pour.validationRetourPM","0"
